CMDLINE python tandem/asymmetric_tandem.py
MEM 3.714844 1445879966.5558
MEM 44.105469 1445879967.0752
MEM 56.632812 1445879967.6006
MEM 69.976562 1445879968.1192
MEM 81.597656 1445879968.6407
MEM 93.902344 1445879969.1623
MEM 105.531250 1445879969.6868
MEM 117.203125 1445879970.2068
MEM 134.566406 1445879970.7287
MEM 142.246094 1445879971.2501
MEM 154.031250 1445879971.7747
MEM 165.921875 1445879972.2948
MEM 177.679688 1445879972.8205
MEM 189.449219 1445879973.3392
MEM 201.093750 1445879973.8646
MEM 204.597656 1445879974.3834
MEM 205.707031 1445879974.9085
MEM 206.906250 1445879975.4271
MEM 208.039062 1445879975.9487
MEM 209.175781 1445879976.4701
MEM 210.250000 1445879976.9944
MEM 211.453125 1445879977.5172
MEM 212.585938 1445879978.0410
MEM 213.722656 1445879978.5594
MEM 214.808594 1445879979.0845
MEM 215.945312 1445879979.6032
MEM 217.078125 1445879980.1248
MEM 218.218750 1445879980.6489
MEM 219.304688 1445879981.1732
MEM 220.437500 1445879981.6915
MEM 221.378906 1445879982.2166
MEM 222.511719 1445879982.7401
MEM 223.800781 1445879983.2619
MEM 224.808594 1445879983.7856
MEM 225.929688 1445879984.3066
MEM 227.062500 1445879984.8286
MEM 228.199219 1445879985.3501
MEM 229.289062 1445879985.8724
MEM 230.425781 1445879986.3968
MEM 231.562500 1445879986.9208
MEM 232.757812 1445879987.4440
MEM 233.894531 1445879987.9687
MEM 235.031250 1445879988.4928
MEM 236.164062 1445879989.0159
MEM 236.476562 1445879989.5355
MEM 237.761719 1445879990.0542
MEM 238.699219 1445879990.5803
MEM 239.832031 1445879991.0991
MEM 241.035156 1445879991.6244
MEM 242.167969 1445879992.1430
MEM 243.304688 1445879992.6647
MEM 244.335938 1445879993.1891
MEM 245.527344 1445879993.7130
MEM 246.726562 1445879994.2361
MEM 247.859375 1445879994.7608
MEM 249.121094 1445879995.2850
MEM 250.148438 1445879995.8033
MEM 251.273438 1445879996.3222
MEM 252.410156 1445879996.8454
MEM 253.546875 1445879997.3635
MEM 254.753906 1445879997.8885
MEM 255.769531 1445879998.4071
MEM 256.906250 1445879998.9286
MEM 258.042969 1445879999.4527
MEM 259.175781 1445879999.9770
MEM 260.316406 1445880000.5001
MEM 261.285156 1445880001.0246
MEM 262.582031 1445880001.5489
MEM 263.613281 1445880002.0672
MEM 264.812500 1445880002.5925
MEM 265.750000 1445880003.1159
MEM 266.886719 1445880003.6372
MEM 267.996094 1445880004.1554
MEM 269.160156 1445880004.6761
MEM 270.292969 1445880005.1978
MEM 271.378906 1445880005.7203
MEM 272.410156 1445880006.2410
MEM 273.710938 1445880006.7640
MEM 274.847656 1445880007.2885
MEM 275.878906 1445880007.8128
MEM 276.300781 1445880008.3318
MEM 277.328125 1445880008.8567
MEM 278.261719 1445880009.3754
MEM 279.398438 1445880009.9005
MEM 280.531250 1445880010.4191
MEM 281.671875 1445880010.9445
MEM 282.757812 1445880011.4680
MEM 283.894531 1445880011.9898
MEM 284.980469 1445880012.5122
MEM 286.226562 1445880013.0366
MEM 287.363281 1445880013.5608
MEM 288.246094 1445880014.0841
MEM 289.382812 1445880014.6058
MEM 290.523438 1445880015.1234
MEM 291.656250 1445880015.6485
MEM 292.742188 1445880016.1671
MEM 293.878906 1445880016.6925
MEM 295.128906 1445880017.2159
MEM 296.210938 1445880017.7405
MEM 297.238281 1445880018.2648
MEM 298.527344 1445880018.7881
MEM 299.566406 1445880019.3099
MEM 300.703125 1445880019.8362
MEM 301.902344 1445880020.3598
MEM 303.035156 1445880020.8818
MEM 304.167969 1445880021.4043
MEM 305.253906 1445880021.9260
MEM 306.230469 1445880022.4522
MEM 307.527344 1445880022.9759
MEM 308.613281 1445880023.5005
MEM 309.750000 1445880024.0248
MEM 310.687500 1445880024.5432
MEM 311.828125 1445880025.0646
MEM 312.964844 1445880025.5857
MEM 314.093750 1445880026.1034
MEM 315.234375 1445880026.6286
MEM 316.371094 1445880027.1463
MEM 317.507812 1445880027.6708
MEM 318.875000 1445880028.1902
MEM 319.640625 1445880028.7159
MEM 320.925781 1445880029.2348
MEM 322.058594 1445880029.7602
MEM 323.089844 1445880030.2787
MEM 324.378906 1445880030.8005
MEM 325.472656 1445880031.3218
MEM 326.296875 1445880031.8484
MEM 326.554688 1445880032.3672
MEM 327.753906 1445880032.8925
MEM 328.882812 1445880033.4159
MEM 329.765625 1445880033.9406
MEM 330.851562 1445880034.4648
MEM 332.761719 1445880034.9880
MEM 333.421875 1445880035.5126
MEM 334.328125 1445880036.0368
MEM 335.457031 1445880036.5553
MEM 336.546875 1445880037.0767
MEM 337.734375 1445880037.6008
MEM 338.871094 1445880038.1249
MEM 340.003906 1445880038.6432
MEM 341.089844 1445880039.1684
MEM 342.226562 1445880039.6871
MEM 343.109375 1445880040.2124
MEM 344.246094 1445880040.7310
MEM 345.335938 1445880041.2566
MEM 346.519531 1445880041.7746
MEM 347.656250 1445880042.3003
MEM 349.253906 1445880042.8240
MEM 350.027344 1445880043.3459
MEM 351.015625 1445880043.8722
MEM 352.152344 1445880044.3958
MEM 353.351562 1445880044.9177
MEM 354.484375 1445880045.4403
MEM 355.363281 1445880045.9619
MEM 356.707031 1445880046.4883
MEM 357.843750 1445880047.0070
MEM 358.789062 1445880047.5287
MEM 359.921875 1445880048.0527
MEM 361.054688 1445880048.5770
MEM 362.082031 1445880049.0953
MEM 363.332031 1445880049.6205
MEM 364.468750 1445880050.1392
MEM 365.601562 1445880050.6607
MEM 367.402344 1445880051.1821
MEM 367.898438 1445880051.7081
MEM 368.964844 1445880052.2318
MEM 370.101562 1445880052.7538
MEM 371.191406 1445880053.2762
MEM 372.117188 1445880053.7980
MEM 373.250000 1445880054.3239
MEM 374.386719 1445880054.8418
MEM 375.675781 1445880055.3590
MEM 376.617188 1445880055.8841
MEM 377.808594 1445880056.4027
MEM 378.945312 1445880056.9279
MEM 380.082031 1445880057.4465
MEM 381.218750 1445880057.9718
MEM 382.308594 1445880058.4953
MEM 383.441406 1445880059.0171
MEM 384.730469 1445880059.5349
MEM 385.773438 1445880060.0600
MEM 387.589844 1445880060.5787
MEM 388.101562 1445880061.1002
MEM 388.363281 1445880061.6223
MEM 388.929688 1445880062.1483
MEM 390.066406 1445880062.6720
MEM 391.144531 1445880063.1939
MEM 392.230469 1445880063.7164
MEM 393.425781 1445880064.2379
MEM 394.558594 1445880064.7641
MEM 395.695312 1445880065.2830
MEM 396.578125 1445880065.8066
MEM 397.714844 1445880066.3295
MEM 398.851562 1445880066.8531
MEM 399.984375 1445880067.3761
MEM 401.015625 1445880067.8910
MEM 402.210938 1445880068.4135
MEM 403.406250 1445880068.9313
MEM 404.542969 1445880069.4565
MEM 405.679688 1445880069.9750
MEM 406.562500 1445880070.4967
MEM 407.699219 1445880071.0207
MEM 408.781250 1445880071.5450
MEM 410.585938 1445880072.0633
MEM 411.230469 1445880072.5885
MEM 412.250000 1445880073.1072
MEM 413.277344 1445880073.6324
MEM 414.468750 1445880074.1510
MEM 415.664062 1445880074.6764
MEM 416.800781 1445880075.1952
MEM 417.937500 1445880075.7205
MEM 419.019531 1445880076.2392
MEM 420.156250 1445880076.7645
MEM 421.296875 1445880077.2880
MEM 422.433594 1445880077.8099
MEM 423.312500 1445880078.3324
MEM 424.445312 1445880078.8539
MEM 425.582031 1445880079.3800
MEM 426.671875 1445880079.8989
MEM 427.808594 1445880080.4243
MEM 429.003906 1445880080.9422
MEM 430.136719 1445880081.4668
MEM 431.277344 1445880081.9861
MEM 432.414062 1445880082.5116
MEM 433.550781 1445880083.0354
MEM 435.921875 1445880083.5574
MEM 436.437500 1445880084.0748
MEM 436.968750 1445880084.5998
MEM 437.847656 1445880085.1184
MEM 439.132812 1445880085.6438
MEM 440.328125 1445880086.1627
MEM 441.261719 1445880086.6881
MEM 442.398438 1445880087.2114
MEM 443.535156 1445880087.7332
MEM 444.820312 1445880088.2509
MEM 445.761719 1445880088.7759
MEM 446.894531 1445880089.2943
MEM 448.093750 1445880089.8160
MEM 449.230469 1445880090.3402
MEM 450.367188 1445880090.8645
MEM 451.503906 1445880091.3828
MEM 452.636719 1445880091.9079
MEM 453.773438 1445880092.4314
MEM 454.914062 1445880092.9534
MEM 456.050781 1445880093.4710
MEM 457.136719 1445880093.9922
MEM 458.269531 1445880094.5165
MEM 459.406250 1445880095.0396
MEM 460.488281 1445880095.5567
MEM 461.519531 1445880096.0749
MEM 462.562500 1445880096.6002
MEM 465.007812 1445880097.1187
MEM 465.519531 1445880097.6439
MEM 466.023438 1445880098.1624
MEM 466.289062 1445880098.6866
MEM 466.542969 1445880099.2065
MEM 467.675781 1445880099.7318
MEM 468.765625 1445880100.2554
MEM 469.902344 1445880100.7755
MEM 471.097656 1445880101.2946
MEM 471.980469 1445880101.8202
MEM 473.113281 1445880102.3387
MEM 474.398438 1445880102.8640
MEM 475.390625 1445880103.3824
MEM 476.527344 1445880103.9078
MEM 477.664062 1445880104.4253
MEM 478.746094 1445880104.9479
MEM 479.941406 1445880105.4693
MEM 481.019531 1445880105.9871
MEM 482.222656 1445880106.5122
MEM 483.359375 1445880107.0356
MEM 484.492188 1445880107.5573
MEM 485.628906 1445880108.0748
MEM 486.703125 1445880108.5962
MEM 487.734375 1445880109.1175
MEM 489.015625 1445880109.6319
MEM 490.109375 1445880110.1504
MEM 491.308594 1445880110.6759
MEM 492.445312 1445880111.1949
MEM 493.324219 1445880111.7194
MEM 494.671875 1445880112.2433
MEM 497.351562 1445880112.7653
MEM 497.898438 1445880113.2829
MEM 498.402344 1445880113.8079
MEM 499.164062 1445880114.3313
MEM 500.195312 1445880114.8530
MEM 501.289062 1445880115.3709
MEM 502.425781 1445880115.8924
MEM 503.558594 1445880116.4136
MEM 504.695312 1445880116.9361
MEM 505.839844 1445880117.4574
MEM 506.925781 1445880117.9798
MEM 508.121094 1445880118.5013
MEM 509.253906 1445880119.0187
MEM 510.390625 1445880119.5438
MEM 511.527344 1445880120.0625
MEM 512.605469 1445880120.5879
MEM 513.800781 1445880121.1115
MEM 514.933594 1445880121.6334
MEM 515.820312 1445880122.1558
MEM 517.164062 1445880122.6749
MEM 518.300781 1445880123.1943
MEM 519.238281 1445880123.7199
MEM 520.371094 1445880124.2389
MEM 521.656250 1445880124.7640
MEM 522.687500 1445880125.2824
MEM 523.730469 1445880125.7967
MEM 524.867188 1445880126.3153
MEM 526.066406 1445880126.8401
MEM 527.199219 1445880127.3634
MEM 528.335938 1445880127.8852
MEM 529.417969 1445880128.4029
MEM 530.613281 1445880128.9244
MEM 531.750000 1445880129.4455
MEM 534.527344 1445880129.9630
MEM 535.035156 1445880130.4879
MEM 535.542969 1445880131.0115
MEM 536.296875 1445880131.5334
MEM 537.433594 1445880132.0477
MEM 538.519531 1445880132.5649
MEM 539.656250 1445880133.0856
MEM 540.792969 1445880133.6085
MEM 541.671875 1445880134.1266
MEM 543.019531 1445880134.6480
MEM 544.152344 1445880135.1692
MEM 545.089844 1445880135.6869
MEM 546.222656 1445880136.2121
MEM 547.511719 1445880136.7307
MEM 548.542969 1445880137.2558
MEM 549.839844 1445880137.7702
MEM 550.976562 1445880138.2900
MEM 551.917969 1445880138.8158
MEM 553.308594 1445880139.3345
MEM 554.441406 1445880139.8576
MEM 555.527344 1445880140.3780
MEM 556.667969 1445880140.9039
MEM 557.863281 1445880141.4228
MEM 559.000000 1445880141.9443
MEM 560.195312 1445880142.4657
MEM 561.332031 1445880142.9881
MEM 562.468750 1445880143.5097
MEM 563.605469 1445880144.0320
MEM 563.605469 1445880144.5541
MEM 563.605469 1445880145.0766
MEM 564.742188 1445880145.5980
MEM 565.878906 1445880146.1204
MEM 567.015625 1445880146.6446
MEM 568.152344 1445880147.1688
MEM 569.238281 1445880147.6920
MEM 570.371094 1445880148.2165
MEM 571.507812 1445880148.7409
MEM 572.593750 1445880149.2594
MEM 575.687500 1445880149.7845
MEM 575.992188 1445880150.3031
MEM 576.500000 1445880150.8249
MEM 577.011719 1445880151.3463
MEM 578.031250 1445880151.8721
MEM 579.218750 1445880152.3959
MEM 580.355469 1445880152.9170
MEM 581.492188 1445880153.4353
MEM 582.523438 1445880153.9605
MEM 583.714844 1445880154.4839
MEM 584.593750 1445880155.0086
MEM 585.796875 1445880155.5329
MEM 586.933594 1445880156.0561
MEM 588.062500 1445880156.5808
MEM 589.199219 1445880157.1049
MEM 590.339844 1445880157.6233
MEM 591.476562 1445880158.1447
MEM 592.613281 1445880158.6660
MEM 593.640625 1445880159.1919
MEM 594.832031 1445880159.7106
MEM 595.972656 1445880160.2359
MEM 596.851562 1445880160.7595
MEM 597.988281 1445880161.2815
MEM 599.277344 1445880161.8041
MEM 600.261719 1445880162.3255
MEM 601.394531 1445880162.8432
MEM 602.683594 1445880163.3681
MEM 603.882812 1445880163.8866
MEM 604.757812 1445880164.4119
MEM 605.953125 1445880164.9305
MEM 607.089844 1445880165.4561
MEM 608.121094 1445880165.9748
MEM 609.363281 1445880166.5002
MEM 610.449219 1445880167.0214
MEM 611.585938 1445880167.5448
MEM 612.527344 1445880168.0628
MEM 613.664062 1445880168.5845
MEM 614.792969 1445880169.1083
MEM 616.132812 1445880169.6324
MEM 617.074219 1445880170.1509
MEM 618.210938 1445880170.6761
MEM 622.242188 1445880171.1949
MEM 622.746094 1445880171.7203
MEM 623.242188 1445880172.2387
MEM 623.742188 1445880172.7617
MEM 624.242188 1445880173.2847
MEM 625.269531 1445880173.8086
MEM 626.394531 1445880174.3268
MEM 627.582031 1445880174.8498
MEM 628.710938 1445880175.3698
MEM 629.839844 1445880175.8873
MEM 630.867188 1445880176.4123
MEM 632.671875 1445880176.9301
MEM 634.992188 1445880177.4536
MEM 636.023438 1445880177.9684
MEM 638.343750 1445880178.4898
MEM 639.117188 1445880179.0160
MEM 639.890625 1445880179.5350
MEM 640.921875 1445880180.0603
MEM 647.816406 1445880180.5790
MEM 648.589844 1445880181.1043
MEM 649.363281 1445880181.6230
MEM 650.394531 1445880182.1426
MEM 651.167969 1445880182.6574
MEM 651.941406 1445880183.1809
MEM 652.972656 1445880183.6957
MEM 659.800781 1445880184.2136
MEM 660.574219 1445880184.7285
MEM 661.347656 1445880185.2469
MEM 662.378906 1445880185.7617
MEM 663.152344 1445880186.2782
MEM 663.925781 1445880186.8017
MEM 664.957031 1445880187.3221
MEM 665.730469 1445880187.8370
MEM 666.503906 1445880188.3551
MEM 667.535156 1445880188.8803
MEM 668.308594 1445880189.3990
MEM 669.082031 1445880189.9137
MEM 669.339844 1445880190.4318
MEM 669.339844 1445880190.9570
MEM 669.597656 1445880191.4752
MEM 670.371094 1445880191.9900
MEM 671.144531 1445880192.5159
MEM 672.175781 1445880193.0337
MEM 681.160156 1445880193.5513
MEM 681.933594 1445880194.0661
MEM 682.707031 1445880194.5844
MEM 683.738281 1445880195.1086
MEM 684.511719 1445880195.6263
MEM 685.285156 1445880196.1521
MEM 686.316406 1445880196.6670
MEM 687.089844 1445880197.1865
MEM 687.863281 1445880197.7013
MEM 688.894531 1445880198.2192
MEM 689.667969 1445880198.7444
MEM 690.441406 1445880199.2629
MEM 691.472656 1445880199.7884
MEM 692.246094 1445880200.3070
MEM 693.277344 1445880200.8285
MEM 694.050781 1445880201.3455
MEM 694.824219 1445880201.8660
MEM 695.855469 1445880202.3920
MEM 696.628906 1445880202.9098
MEM 697.402344 1445880203.4274
MEM 698.433594 1445880203.9421
MEM 699.207031 1445880204.4680
MEM 699.980469 1445880204.9868
MEM 701.011719 1445880205.5124
MEM 701.785156 1445880206.0311
MEM 702.558594 1445880206.5528
MEM 703.589844 1445880207.0736
MEM 704.363281 1445880207.5885
MEM 705.136719 1445880208.1070
MEM 705.910156 1445880208.6329
MEM 625.765625 1445880209.1561
MEM 625.765625 1445880209.6774
MEM 625.765625 1445880210.1948
MEM 625.765625 1445880210.7199
MEM 625.765625 1445880211.2386
MEM 625.765625 1445880211.7641
MEM 625.765625 1445880212.2825
MEM 625.765625 1445880212.8083
MEM 625.765625 1445880213.3277
MEM 625.765625 1445880213.8527
MEM 625.765625 1445880214.3757
MEM 625.765625 1445880214.8973
MEM 625.765625 1445880215.4150
MEM 625.765625 1445880215.9363
MEM 625.765625 1445880216.4576
MEM 625.765625 1445880216.9749
MEM 625.765625 1445880217.4999
MEM 625.765625 1445880218.0233
MEM 625.765625 1445880218.5451
MEM 625.765625 1445880219.0677
MEM 625.765625 1445880219.5893
MEM 625.765625 1445880220.1071
MEM 625.765625 1445880220.6284
MEM 625.765625 1445880221.1497
MEM 625.765625 1445880221.6721
MEM 625.765625 1445880222.1936
MEM 625.765625 1445880222.7160
MEM 625.765625 1445880223.2376
MEM 625.765625 1445880223.7601
MEM 625.765625 1445880224.2817
MEM 625.765625 1445880224.8042
MEM 625.765625 1445880225.3285
MEM 625.765625 1445880225.8527
MEM 625.765625 1445880226.3710
MEM 625.765625 1445880226.8963
MEM 625.765625 1445880227.4178
MEM 625.765625 1445880227.9412
MEM 625.765625 1445880228.4594
MEM 625.765625 1445880228.9845
MEM 625.765625 1445880229.5079
MEM 625.765625 1445880230.0328
MEM 625.765625 1445880230.5572
MEM 625.765625 1445880231.0782
MEM 625.765625 1445880231.6015
MEM 625.765625 1445880232.1243
MEM 625.765625 1445880232.6460
MEM 625.765625 1445880233.1685
MEM 625.765625 1445880233.6900
MEM 625.765625 1445880234.2124
MEM 625.765625 1445880234.7340
MEM 625.765625 1445880235.2556
MEM 625.765625 1445880235.7764
MEM 625.765625 1445880236.2953
MEM 625.765625 1445880236.8169
MEM 625.765625 1445880237.3410
MEM 625.765625 1445880237.8652
MEM 625.765625 1445880238.3881
MEM 625.765625 1445880238.9089
MEM 625.765625 1445880239.4273
MEM 625.765625 1445880239.9509
MEM 625.765625 1445880240.4710
MEM 625.765625 1445880240.9964
